playerID,AB,H,AVE
alvarwi01,95,13,0.1368421053
alvisma01,3629,895,0.2466244144
alvorbi01,1069,270,0.2525724977
alyeabr01,866,214,0.247113164
amalfjo01,1715,418,0.2437317784
amarari01,1788,493,0.2757270694
amarial01,1750,404,0.2308571429
amaroru01,2155,505,0.2343387471
amaroru02,927,218,0.235167206
amblewa01,782,175,0.2237851662
ambrech01,189,44,0.2328042328
amelued01,57,11,0.1929824561
amesre01,1014,143,0.141025641
amezaal01,1408,348,0.2471590909
amoledo01,48,5,0.1041666667
amorosa01,1311,334,0.2547673532
amorvi01,6,1,0.1666666667
anckewa01,6,0,0
anderal01,390,93,0.2384615385
anderal02,1,0,0
anderan01,223,41,0.1838565022
anderbi01,1,0,0
anderbo01,246,33,0.1341463415
anderbr01,6499,1661,0.2555777812
anderbr02,255,35,0.137254902
anderbr03,799,181,0.2265331665
anderbr04,79,8,0.1012658228
anderbr05,68,15,0.2205882353
anderbr06,674,183,0.2715133531
anderch01,224,21,0.09375
anderco01,3,0,0
andercr01,47,7,0.1489361702
anderda01,62,6,0.09677419355
anderda02,2026,490,0.2418558736
anderdr01,9,1,0.1111111111
anderdr02,3,0,0
anderdw01,306,62,0.2026143791
anderfe01,234,61,0.2606837607
anderfr01,312,41,0.1314102564
anderga01,8640,2529,0.2927083333
anderge01,1007,289,0.2869910626
andergo01,413,85,0.205811138
anderha01,32,8,0.25
anderha02,1586,419,0.264186633
anderji01,970,211,0.2175257732
anderji02,170,23,0.1352941176
anderjo01,6345,1843,0.290464933
anderjo02,5,0,0
anderjo03,486,132,0.2716049383
anderke01,366,95,0.2595628415
anderla02,38,5,0.1315789474
anderla03,48,8,0.1666666667
anderma02,3204,849,0.2649812734
andermi01,1490,367,0.2463087248
andermi02,1,0,0
anderre01,39,11,0.2820512821
anderri02,11,1,0.09090909091
andersc01,4,0,0
andersp01,477,104,0.2180293501
anderta01,1,0,0
anderti01,1564,403,0.2576726343
anderty01,111,10,0.09009009009
anderva01,114,34,0.298245614
anderwa01,11,3,0.2727272727
anderwi01,5,1,0.2
andinro01,1344,313,0.2328869048
andrecl01,3,0,0
andreed01,3233,830,0.2567274977
andreer01,41,4,0.09756097561
andrefr01,29,8,0.275862069
andreiv01,319,59,0.1849529781
andreji01,202,38,0.1881188119
andrejo01,9,1,0.1111111111
andrejo02,2,1,0.5
andrejo03,61,14,0.2295081967
andreki01,2,1,0.5
andremi01,3116,803,0.2577021823
andrena01,240,35,0.1458333333
andrero01,1454,365,0.2510316369
